ID Data,Nama Produk,Jenis Kulit,Review Produk,Rating,Label
A001,Cetaphil: Gentle Skin Cleanser,Oily,"Aku suka banget sama ini. Cuma ini cleanser yang cocok buat aku. Aku udah sering banget gonta-ganti cleanser karena wajahku yang penuh jerawat. Aku udah coba yang low-end dan high-end sekalipun tapi tetep gak ada yang sebagus ini. Karena produknya gentle jadi gak bikin iritasi diwajah, kebanyakan produk cleanser lain yang harsh untuk wajah justru dapat menyebabkan iritasi sehingga munculah jerawat. Very recommended!",5,Positive
A002,Cetaphil: Gentle Skin Cleanser,Oily,"Walaupun produknya mengklaim dapat digunakan sebagai makeup removal, aku tetap gak menggunakannya sebagai makeup removal. Tapi sebagai pencuci muka, iya. Karena sangat lembut. Awal pemakaian agak kaget, karena tidak berbusa sama sekali. Gak bikin breakout what soever. Kalau dibandingin sama produk pencuci mukaku sebelumnya, yang meninggalkan kesan kesat di wajah, maka produk ini membuat kulit terasa bersih tapi tetap lembut dan kenyal. Harga 150.000 untuk kemasan 16oz di century, ya. Tempat lain mungkin berbeda harganya, bisa lebih mahal atau lebih murah. Kesimpulan: puas :)",5,Positive
A003,Cetaphil: Gentle Skin Cleanser,Dry,"Thanks God for this product. Produk ini udah paling cocok buat aku. Bisa dibuat cuci muka, pembersih make up dan sabun mandi. Kulitku sangat kering dan alergi. Produk ini direkomendasi sama dokter alergiku. Dan memang, udah paling best banget buat aku. Aku sih sekarang lebih buat pake pembersih make up dan sabun muka, untuk sabun beralih ke sabun baby aja, secara harganya lumayan kalo dipake buat badan yang paling gede pun cepet aja abisnya :D",5,Positive
A004,Cetaphil: Gentle Skin Cleanser,Oily,"Another favorite product from Cetaphil. Seneng banget dengan produk ini karena aman untuk kulitku yang oily-acne prone yang mudah sensitive ini. Setelah 2 bulanan pakai cleanser ini kulit terasa lebih ""kalem"", walau sedang PMS pun, jerawat yang tadinya banyak berdatangan jadi jarang, paling hanya 1-3 saja which is a very good sign for me. Selain itu, setiap habis cuci muka, kulit terasa lebih kenyal dan lembut.",5,Positive
A005,Cetaphil: Gentle Skin Cleanser,Oily,"awalnya kaget karena cleanser ini enggak berbusa sama sekali, tapi lama-lama jadi kebiasaan. saya suka cleanser ini karena sangat gentle di kulit saya yang sensitif dan acne prone. kebnyakan cleanser bakal bikin kulit saya terasa tertarik, tapi produk ini tidak.",5,Positive
A006,Cetaphil: Gentle Skin Cleanser,Combination,"So far aku cocok sama cetaphil ini. Dan sudah purchase yang ke dua kalinya dalam botol besar buat dipakai bareng sama mami dan adik aku yang kulitnya cenderung normal-dry dan cocok juga buat mereka. Kalau mereka pakai purely buat cuci muka tapi aku pakai cetaphil ini pake bersihin make up. Karena cetaphil ini memang bisa dipake tanpa dan atau dengan air. Aku coba buat bersihin make up eh enak dan bersih juga dengan dua kali apply, dan sampai sekarang stuck pakai ini karena after feelingnya yang fresh dan nggak lengket. Teksturenya gel gitu nggak ada wanginya, sangat gentle di kulit. Definitely gonna do a repurchase!",5,Positive
A007,Cetaphil: Gentle Skin Cleanser,Combination,"My HG cleanser! Dengan kulit yg oily tapi kering mengarah ke dehidrasi, pembersih ini cocok banget. Ga bikin tambah kering, bersihin dan bikin lembab. Awal pake agak aneh dengan sensasi saat mencuci wajah dengan cetaphil karena ga berasa pake sabun, khawatir ga bersih kan... Tapi setelah dibilas rasanya bersih dan enak banget. Udah repurchase 3 botol maybe",5,Positive
A008,Cetaphil: Gentle Skin Cleanser,Dry,"Sampai sekarang tetap setia menggunakan Cethapil sebagai clenaser untuk wajah. Sejak menggunakan produk ini, hampir sebagian masalah wajah saya seperti beruntusan, tidak timbul lagi. Saya menggunakannya dalam keadaan wajah kering, di massage sedikit kemudian diangkat dengan tissue. Kemudian saya ulangi lagi sampai tidak ada bekas make up atau kotoran di tissue. Kemudian, biar efek membersihkan lebih nyata, tahap terakhir adalah dibilas dengan air, dan di lap kering dengan tissue. Kecuali untuk pagi hari, saya hanya membersihkan dengan satu kali tahapan saja. Wajahpun bersih tanpa terasa kering.",5,Positive
A009,Cetaphil: Gentle Skin Cleanser,Normal,"Really really love this cleanser. Kulit wajahku super sensitif dan gampang bgt jerawatan, salah2 pakai product selalu merah2 dan jerawatan. Tp aku cocok bgt pake ini! saat berusaha melepas ketergantungan dari dokter muka, aku lgsg ganti sabun muka ku ke cetaphil gentle cleanser. Aku pakai ini sbagai milk cleanser dan sabun cuci muka ku. Hasilnya muka ku jd lebih halus dan ga kusam. No breakout! Beberapa temen ku udh aku recomendasiin pakai ini dan ternyata mereka juga cocok :). Buat yang wajahnya sensitif, gampang jerawatan, dan mau cari face cleanser yang ingredients nya gak aneh2, cetaphil gentle cleanser bakal cocok bgt buat km. Worth to try! Ak ud repurchase 3x, dan akan terus repurchase.",5,Positive
A010,Cetaphil: Gentle Skin Cleanser,Combination,"Cetaphil bikin kulit aku sehat kembali, tadinya sering bgt gatel2 kering dan akhirnya membekas di tangan, kaki dll. Udh lama lepas dr sabun yg ada wangi2annya karena produk ini so far paling cocok buat badan dan muka kombinasiku. Terutama di wajah gak ada lagi rasa ketarik sehabis cuci muka.",5,Positive
A011,Cetaphil: Gentle Skin Cleanser,Normal,"bagusssss, dan sangatt suka dari awal pemakaian, sudah sangat yakin kalau product ini sangat bekerja maksimal, oil free dan ga berbusa, bikin kulit nyaman terutama kulit kering, tapi kulit berminyak juga oke.",5,Positive
A012,Cetaphil: Gentle Skin Cleanser,Dry,"Cinta banget sama produk ini!!Saya bisa pakai ini sebagai second cleanser, setelah pakai cleansing oil atau micellar water. Dioles aja diwajah kayak pakai milk cleanser gitu sambil dipijit-pijit, lalu bilas dengan air. Enak banget deh produk ini, nggak bikin kulit terasa kering dan ketarik. Terus kalau kulit saya lagi iritasi juga nggak perih pakai ini. Harganya memang mahal tapi produknya bagus dan awet sih, sekitaran 4 bulan baru habis :D",5,Positive
A013,Cetaphil: Gentle Skin Cleanser,Combination,"my current favorite cleanser!!! karna mukaku kombinasi dry to normal jd ngerasa cocok bgt sama ini, abis cuci muka kerasa lembut ga ada sensasi ketarik dan gak bikin kering udahnya. cuman kalo pake make up jgn lupa pake cleansing dulu sebelumnya karna kalo cleanser ini aja gak cukup buat ngebersiinnya. *budayakan double cleansing* :D",5,Positive
A014,Cetaphil: Gentle Skin Cleanser,Normal,"Ini facial wash yang gentle banget. Karena gak bikin kulit kamu kering atau iritasi. Cara pakenya juga simpel banget, bisa pake air atau tanpa air (cuma dibersihin pakai tisu aja). Aku sih suka efeknya karena bikin kulit lembut banget, tapi bisa ngangkat kotoran di wajah juga (you gotta look the tissue, semua kotorannya terangkat). Bagus deh!",5,Positive
A015,Cetaphil: Gentle Skin Cleanser,Oily,"Cinta mati sama cleanser ini. Kulitku super sensitif dan cleanser ini benar2 ringan di kulit. Untuk yg pakai makeup mungkin bisa pakai milk cleanser dulu baru lanjut pakai ini. Kekurangannya cuma harganya yg lebih mahal dari facial wash lain. Tapi untuk hasilnya, it's worthy :)Will i repurchase? Absolutely!!! Udah cinta mati XD",5,Positive
A016,Cetaphil: Gentle Skin Cleanser,Oily,Ini bagus buat kulit sensitif soalnya lembut banget. Mungkin yang merasa kurang nampol bersihnya itu yang biasa pakai make up tebal. Bagi saya yang ga suka make up tebal biasanya cukup pakai milk cleanser buat ngilangin bedak. Lanjut cetaphil lalu bilas pakai air. Kulit jadi lebih kenyal dibandingkan pakai sabun muka lain. Saya kasih rating 5 karena produknya sesuai klaim yang dijanjikan.,5,Positive
A017,Cetaphil: Gentle Skin Cleanser,Oily,"Cetaphil gentle cleanser ini merupakan salah satu facial wash favoriteku dikulitku yang kombinasi cenderung oily,aku pake cetaphil ini no bad respon,gak keluar jerawat bruntusan gitu,cetaphil ini juga bisa dipakai dengan 2cara,bisa dgn air atau tdk dgn air. Ini juga disetujui sm dokter utk dipakai krn bebas paraben,dan cocok utk semua jenis kulit. So far sukaa sm produk ini & masih pake sampai skrg",5,Positive
A018,Cetaphil: Gentle Skin Cleanser,Normal,"Bener-bener jatuh cinta banget sama produk ini! Kulitku itu berminyak parah dan sensitif sekali (gampang beruntusan, merah-merah) dengan facial wash apapun, terutama yang mengandung parfum. Pertama coba ini memang agak aneh karena nggak ada busanya, aku cuci muka dengan regime aku yaitu 2 kali sabunan saat cuci muka, dan bener-bener hasilnya memuaskan, nggak bikin kulit terasa ketarik, kulit terasa moist dan nggak bikin kulit sensitifiku jadi merah-merah atau beruntusan. Pas sudah dipakai berminggu minggu justru membuat keadaan mukaku normal dan nggak berminyak. Tapi FYI, facial cleanser ini tidak membuat keadaan jerawat menjadi membaik kecuali kamu bener-bener rajin cuci muka pake ini.Untuk harga worth it lah menurut aku, secara kulit mukaku udah cocok pake ini.",5,Positive
A019,Cetaphil: Gentle Skin Cleanser,Combination,"my HG facial wash. beli ini karena banyak review yg bagus dari beauty vloger/bloger. habis beli gak langsung di pake soalnya masih habisin facial wash yg lama dan masih eman2 krna harga nya yg lumayan mihil hehe (krna size yg paling kecil 125ml jadi mau gak mau beli yg itu hihi). trus tiba2 suatu hari muka ku bruntusan karna habis nyoba masker baru (yg kata sepupu aku bagus). udah bruntusan, kering, panas, cekit2 gtu, dan sensitif bgt kalo kena produk apapun, gak nyaman bgt deh pkoknya. trus keinget punya cetaphil ini yg klaim nya ditujukan untuk kulit sensitif, pertama pakai rasanya gak kaya cuci muka dan aneh gtu kan krna gak ada busanya sama sekali (krna kebiasaan cuci muka yg ada busanya) tapi aku rutin.in aja pake nya krna lama2 kerasa enak gak terlalu keras juga di muka dan gak bikin ketarik sehabis cucu muka. waktu pake cetaphil ini aku barengi dengan pake evoo juga tiap malem mau tidur. dan gak ada seminggu (brapa hari tepat nya aku lupa) muka ku mulai membaik, bruntusannya udah mulai kalem dan lama kelamaan hilang, kulit muka ku jadi kerasa lebih lembut. dan masih bertahan menjadi facial wash andalan. repurchase ? BIG YAS",5,Positive
A020,Cetaphil: Gentle Skin Cleanser,Oily,"my fave cleanser ever. Cobain produk ini karena berhenti dari perawatan yang bikin ketergantungan. Setelah berhenti pakai produk perawatan muka langsung break out parah, iritasi dan kusam. Sudah coba berbagai produk drugstore tetapi ga ada yang ampuh. Akhirnya beli cetaphil gentle skin cleanser setelah membaca review dari salah satu beauty blogger. Aku beli di guardian ukuran 125ml seharga 120ribuan.Teksturnya cair sedikit kental, bening dan tidak berbau. Pertama kali coba sempat kaget karena tidak berbusa sama sekali, sampai aku tambahin produknya buat di apply tetapi tidak berbusa juga. Hanya seperti mengusapkan air pada wajah, tetapi aku sangat suka karena bener bener lembut dan tidak membuat kulit kering+ Lembut di wajah+ melembabkan dan tidak membuat kulit kering setelah pemakaian+ Jerawat lebih tenang dan tidak meradang lagi+ Beruntusan di wajah perlahan hilang- kurang bersih untuk membersihkan makeupoverall sangat suka sama produk ini, karena penyelamat saat muka sedang breakout dan iritasi ataupun keringrepurchase? YES, sudah 2x repurchaserating 9/10",5,Positive
A021,Cetaphil: Gentle Skin Cleanser,Oily,"Nyoba cetaphil gara-gara kena racun dari adekku yang duluan pake. Kulitnya rada sensitif dan breakout di jidat lumayan banyak. Emang setelah 2 minggu pake jerawatnya kurang dan jadi ilang sama sekali. Kalo di aku (yang punya tipe kulit wajah kombinasi, cenderung oily) juga cocok-cocok aja. Teksturnya encer, warnanya bening, kalo dipake busa & baunya juga hampir ga ada. This is the ideal type of face wash I would prefer sebenernya. Karena semakin sedikit busa semakin sedikit bikin kesat muka. Dan abis dipake ga bikin muka kering banget. Uniknya lagi, aku baru tau ternyata ini bisa dipake tanpa air gitu. Pokoknya ini face wash recommended untuk semua jenis kulit sih menurutku despite of the price ya. Packagingnya juga oke ada pumpnya gitu pake sedikit aja cukup kok jadi hemat. Repurchase? Yes.",5,Positive
A022,Cetaphil: Gentle Skin Cleanser,Combination,"Lembut, engga ada wangi, di kulit engga kering. Juara deh meskipun agak pricey untuk pembersih muka tapi kualitas untuk skin care engga boleh abal-abal, investasi jangka panjang soalnya dan bukan cuma untuk muka tapi untuk badan juga bisa. Hemat deh dibawa travelling ga perlu bawa sabun badan hehehe",5,Positive
A023,Cetaphil: Gentle Skin Cleanser,Oily,"Akhirnya ketemu juga cleanser yg cocok buat muka.. Cleansernya gak berbusa.. Alhamdulillah cocok, gak bikin jerawatan dan kulit pun jadi lembab (bukan berminyak ya). Enak banget deh.. Gak bakal berpaling kemana pun lagi..",5,Positive
A024,Cetaphil: Gentle Skin Cleanser,Dry,"Produk ini cocok untuk kulit sensitif, kering dan punya masalah atopik dermatitis seperti saya dan anak saya. Jangan harapkan busa dari cleanser ini, mungkin karena cleanser ini tidak mengandung SLS. Juga tidak untuk membersihkan makeup, sebaiknya dipakai pada slot second cleanser. Pada saat rash atau kulit sedang iritasi, hanya Cetaphil ini yang saya berani pakai sebagai cleanser. Dengan moisturizer yang cukup, rash biasanya hilang dihari ke 3.",5,Positive
A025,Cetaphil: Gentle Skin Cleanser,Dry,"Sesuai dengan namanya, produk ini gentle banget di kulit, aku pertama kali coba karena breakouts pakai facial wash brand lain, tapi pakai ini sama sekali ga ada breakouts, ga berasa kering, ga berasa ketarik. Cuma karena dia ga ada busanya sama sekali, pas pertama kali nyoba berasa ragu-ragu gitu, bersih ga sih.. jadi kadang aku cuci mukanya 2 kali biar yakin. Walaupun gitu, kulit tetap berasa nyaman.",5,Positive
A026,Cetaphil: Gentle Skin Cleanser,Oily,"NO. JUST A BIG NO FOR ME. Di internet, hampir 95% bilang ini bagus banget dan cocok di kulit mereka. Bahkan recommended by dermatologists. Tapi di aku bener2 bikin hancur deh. Kering banget, jerawat bruntusan, ngelupas T_T. Jadi tetap cocok-cocokan sih..",1,Negative
A027,Cetaphil: Gentle Skin Cleanser,Combination,"Pengalaman buruk pakai cleanser ini. Sehabis cuci muka, kulit muka awalnya berasa gatal kemudian lama kelamaan kulit muka memerah, panas dan jadi bengkak-bengkak terutama di bagian kelopak mata. Cepat-cepat dibersihkan dengan milk cleanser V*va. Di beberapa bagian wajah, di bagian yang gatal kemudian muncul benjolan-benjolan kecil yang besoknya mengering menjadi titik merah kehitaman. Untung tidak berbekas. Kapok deh pakai merek ini.",1,Negative
A028,Cetaphil: Gentle Skin Cleanser,Oily,"pertama coba sabun ini berasa kaya mukanya ga bersih yah karena masih licin-licin gitu setelah dibilas pakai air,walopun sudah dicuci sampai 2x. trus akhirnya cobain sabun ini jadi cleansing milk aja,ok juga tuh buat bersihin make up di muka. setelah itu baru d cuci muka pakai sabun merk lain. jadi menurut ku siy kalo buat sabun muka kurang bersih yah...",1,Negative
A029,Cetaphil: Gentle Skin Cleanser,Combination,"Mahal walau isinya banyak. Pertama nyoba karena banyak yang bilang ini cocok untuk yang kulit sensitif, tapi setelah kucoba ternyata it's a BIG NO NO buat kulitku. Yang ada setelah ku pakai malah kulit muka ku mengelupas. Ditahan-tahanin sampe 2 minggu pakai tapi rupanya percumah. emang ga cocok sama kulitku, yang ada kuliitku jadi makin perih. Alhasil di telantarin aja itu sisanya di botol yang gede banget itu.",1,Negative
A030,Cetaphil: Gentle Skin Cleanser,Normal,"beli karena ini lagi sale terus banyak banget review positifnya. Setelah pakai ini kulit wajah jadi lembut, bersih dan enggak bikin kering. tapi setelah 5 hari pemakaian, pipi jadi bruntusan dan berjerawat, aku kira purging doang ternyata malah makin parah. padahal ngarep banget cocok karena cleanser ini gentle& gampang didapetin",1,Negative
A031,Cetaphil: Gentle Skin Cleanser,Oily,"nyoba ini punya nyokap, coba sekali terus langsung berefek agak gatel dibagian ujung pipi deket dagu (gatau namanya) biasanya kalo kaya gini efek tanda ga cocok sama suatu product, eh bener begitu make kedua dan ketiga kalinya bukan gatel lagi, tapi langsung keluar semua efek ga cocoknya alias breakout",1,Negative
A032,Cetaphil: Gentle Skin Cleanser,Oily,"aku punya ekspektasi tinggi dengan produk ini karena reviews-nya bagus-bagus. karena kupikir ini bisa lebih gentle daripada cleanser-ku yang biasanya, aku coba aja. well, sesuai harapan, memang sangat gentle. tapi sayang, dia menyumbat pori dan menimbulkan jerawat kecil-kecil secara random. repurchase? of course no.",1,Negative
A033,Cetaphil: Gentle Skin Cleanser,Oily,"Kulit ku termasuk sensitive parah dan gampang bgt jerawatan susah bgt cari skincare yg pas , pake cetaphil berharap bisa sembuh karna review bgs gt, but sadly it's not works for me, malah kulit tanganku jd kekelupas dan bsknya muncul jerawat pimple di kecil"" :( sempet aku berentiin trs pake ulang lagi dan lgsg muncul lg jerawat. Aku beli yg gede lg, repurchase? Big no. Sorry cetaphil.",1,Negative
